00110111 00110010 00111000 00110000 00110100 00110011 00111000 00110000  ; Rua Gilson Amado
00110111 00110010 00111000 00110000 00110100 00110011 00111001 00110000  ; Rua Catulo da Paixão
00110111 00110010 00111000 00110000 00110100 00110100 00110000 00110000  ; Rua José do Patrocínio
00110111 00110010 00111000 00110000 00110101 00110000 00110000 00110101  ; Avenida Meireles
00110111 00110010 00111000 00110000 00110101 00110000 00110001 00110000  ; Rua Araguatins
00110111 00110010 00111000 00110000 00110101 00110000 00110010 00110000  ; Rua Pedro Afonso
00110111 00110010 00111000 00110000 00110101 00110000 00110011 00110000  ; Rua Afonso
00110111 00110010 00111000 00110000 00110101 00110000 00110100 00110000  ; Rua Paraná
00110111 00110010 00111000 00110000 00110101 00110000 00110101 00110000  ; Avenida Carlos Gomes
00110111 00110010 00111000 00110000 00110101 00110000 00110110 00110000  ; Rua Natividade
00110111 00110010 00111000 00110000 00110101 00110000 00110111 00110000  ; Rua Porto Nacional
00110111 00110010 00111000 00110000 00110101 00110000 00111000 00110000  ; Avenida Contorno
00110111 00110010 00111000 00110000 00110101 00110000 00111001 00110000  ; Rua Taguatinga
00110111 00110010 00111000 00110000 00110101 00110000 00111001 00110101  ; Rua Corumbacy Reis Perdigão
00110111 00110010 00111000 00110000 00110101 00110001 00110000 00110000  ; Rua Arraias
00110111 00110010 00111000 00110000 00110101 00110001 00110001 00110000  ; Rua Rialma
00110111 00110010 00111000 00110000 00110101 00110001 00110010 00110000  ; Rua Ipameri
00110111 00110010 00111000 00110000 00110101 00110001 00110011 00110000  ; Rua São Paulo
00110111 00110010 00111000 00110000 00110101 00110001 00110100 00110000  ; Avenida Hélio Rodrigues de Queiroz
00110111 00110010 00111000 00110000 00110101 00110001 00110101 00110000  ; Rua Ceres
00110111 00110010 00111000 00110000 00110101 00110001 00110110 00110000  ; Avenida Juscelino Kubitschek
00110111 00110010 00111000 00110000 00110101 00110001 00110111 00110000  ; Rua Itapaci
00110111 00110010 00111000 00110000 00110101 00110001 00111000 00110000  ; Rua Porongatu
00110111 00110010 00111000 00110000 00110101 00110001 00111001 00110000  ; Rua Miracema
00110111 00110010 00111000 00110000 00110101 00110010 00110000 00110000  ; Rua Vianópolis
00110111 00110010 00111000 00110000 00110101 00110010 00110001 00110000  ; Rua Cristalina
00110111 00110010 00111000 00110000 00110101 00110010 00110010 00110000  ; Rua Leopoldo de Bulhões
00110111 00110010 00111000 00110000 00110101 00110010 00110011 00110000  ; Rua Pires do Rio
00110111 00110010 00111000 00110000 00110101 00110010 00110100 00110000  ; Rua Catalão
00110111 00110010 00111000 00110000 00110101 00110010 00110101 00110000  ; Rua Silvânia
00110111 00110010 00111000 00110000 00110101 00110010 00110110 00110000  ; Rua Goiandira
00110111 00110010 00111000 00110000 00110101 00110010 00110111 00110000  ; Rua Formosa
00110111 00110010 00111000 00110000 00110101 00110010 00111000 00110000  ; Rua Rio Verde
00110111 00110010 00111000 00110000 00110101 00110010 00111001 00110000  ; Rua Trindade
00110111 00110010 00111000 00110000 00110101 00110011 00110000 00110000  ; Rua Palmeiras
00110111 00110010 00111000 00110000 00110101 00110011 00110001 00110000  ; Rua Nerópolis
00110111 00110010 00111000 00110000 00110101 00110011 00110010 00110000  ; Rua Jataí
00110111 00110010 00111000 00110000 00110101 00110011 00110011 00110000  ; Rua Jaraguá
00110111 00110010 00111000 00110000 00110101 00110011 00110101 00110000  ; Rua Corumbá
00110111 00110010 00111000 00110000 00110101 00110011 00110110 00110000  ; Rua Pirenópolis
00110111 00110010 00111000 00110000 00110101 00110011 00110111 00110000  ; Rua Piracanjuba
00110111 00110010 00111000 00110000 00110101 00110011 00111000 00110000  ; Rua Morrinhos
00110111 00110010 00111000 00110000 00110101 00110100 00110000 00110000  ; Rua 85
